setup.py:311 	 2016-10-03 19:16:21,828 __main__     INFO     ================================
setup.py:312 	 2016-10-03 19:16:21,828 __main__     INFO     Logging successfully initialized
setup.py:313 	 2016-10-03 19:16:21,828 __main__     INFO     ================================
setup.py:85 	 2016-10-03 19:16:21,862 __main__     INFO     dedosmedia-monitor containers in host: 1
setup.py:88 	 2016-10-03 19:16:21,865 __main__     INFO     Stopping or removing old container cf5a0c70ae1f287c6e0916316af52b67cb0d4eee45d14c48e447b47ebde55214
setup.py:311 	 2016-10-03 19:25:06,418 __main__     INFO     ================================
setup.py:312 	 2016-10-03 19:25:06,430 __main__     INFO     Logging successfully initialized
setup.py:313 	 2016-10-03 19:25:06,430 __main__     INFO     ================================
setup.py:85 	 2016-10-03 19:25:06,612 __main__     INFO     dedosmedia-monitor containers in host: 1
setup.py:88 	 2016-10-03 19:25:06,613 __main__     INFO     Stopping or removing old container cf5a0c70ae1f287c6e0916316af52b67cb0d4eee45d14c48e447b47ebde55214
setup.py:94 	 2016-10-03 19:25:06,681 __main__     INFO     Building container...
setup.py:112 	 2016-10-03 19:25:06,930 __main__     INFO     Container built succesfully.
setup.py:139 	 2016-10-03 19:25:06,932 __main__     INFO     Config path is: /Volumes/OSX_USB/Dropbox/DedosMedia/keshot/monitor/config and exists: True
setup.py:143 	 2016-10-03 19:25:06,932 __main__     INFO     Watch path is: /Volumes/OSX_USB/Dropbox/DedosMedia/keshot/monitor/watch and exists: True
setup.py:184 	 2016-10-03 19:25:07,123 __main__     INFO     Container created: {u'Id': u'91dfccace0886b518fced360a93d855d481b4bc29974860c17541d7cf9b93511', u'Warnings': None}
setup.py:188 	 2016-10-03 19:25:07,929 __main__     INFO     Container started correctly. Monitoring: /Volumes/OSX_USB/Dropbox/DedosMedia/keshot/monitor/watch/input.jpg
monitor.py:170 	 2016-10-04 00:25:08,770 __main__     INFO     Monitor: Logging successfully initialized
monitor.py:46 	 2016-10-04 00:25:08,781 __main__     INFO     /app/watch/input.jpg
monitor.py:75 	 2016-10-04 00:25:59,215 __main__     INFO     /app/watch/input.jpg
monitor.py:75 	 2016-10-04 00:25:59,219 __main__     INFO     /app/watch
monitor.py:75 	 2016-10-04 00:26:04,220 __main__     INFO     /app/watch/.DS_Store
monitor.py:75 	 2016-10-04 00:26:13,254 __main__     INFO     /app/watch/input.jpg
monitor.py:75 	 2016-10-04 00:26:13,306 __main__     INFO     /app/watch
monitor.py:75 	 2016-10-04 00:26:30,387 __main__     INFO     /app/watch/output.jpg
monitor.py:75 	 2016-10-04 00:26:30,390 __main__     INFO     /app/watch
monitor.py:75 	 2016-10-04 00:27:52,038 __main__     INFO     /app/watch/input.jpg
monitor.py:75 	 2016-10-04 00:27:52,041 __main__     INFO     /app/watch
monitor.py:75 	 2016-10-04 00:27:54,045 __main__     INFO     /app/watch/.DS_Store
monitor.py:75 	 2016-10-04 00:27:54,048 __main__     INFO     /app/watch/input.jpg
monitor.py:75 	 2016-10-04 00:27:54,100 __main__     INFO     /app/watch
monitor.py:75 	 2016-10-04 00:28:06,119 __main__     INFO     /app/watch/output.jpg
11.7779009342
setup.py:286 	 2016-10-03 19:28:07,870 __main__     INFO     (((( DONE ))))))) - Monitoring again.
setup.py:246 	 2016-10-03 19:30:18,911 __main__     INFO     Exiting container 91dfccace0886b518fced360a93d855d481b4bc29974860c17541d7cf9b93511
setup.py:311 	 2016-10-03 19:46:01,259 __main__     INFO     ================================
setup.py:312 	 2016-10-03 19:46:01,301 __main__     INFO     Logging successfully initialized
setup.py:313 	 2016-10-03 19:46:01,303 __main__     INFO     ================================
setup.py:85 	 2016-10-03 19:46:01,372 __main__     INFO     dedosmedia-monitor containers in host: 1
setup.py:88 	 2016-10-03 19:46:01,377 __main__     INFO     Stopping or removing old container 2bb4c72bdae36e19abdc4f6b9d86495143695ff54081aa082f46e4d0dcd1890b
setup.py:94 	 2016-10-03 19:46:01,450 __main__     INFO     Building container...
setup.py:112 	 2016-10-03 19:46:01,767 __main__     INFO     Container built succesfully.
setup.py:139 	 2016-10-03 19:46:01,773 __main__     INFO     Config path is: I:\Dropbox\DedosMedia\keshot\monitor\config and exists: True
setup.py:143 	 2016-10-03 19:46:01,809 __main__     INFO     Watch path is: I:\Dropbox\DedosMedia\keshot\monitor\watch and exists: True
setup.py:184 	 2016-10-03 19:46:02,051 __main__     INFO     Container created: {u'Id': u'cc50f6a3bd60ed1bd84cbfa55f2efe7d667d84782f69f80f73ebd3aad7501057', u'Warnings': None}
setup.py:188 	 2016-10-03 19:46:02,417 __main__     INFO     Container started correctly. Monitoring: I:\Dropbox\DedosMedia\keshot\monitor\watch\input.jpg
monitor.py:170 	 2016-10-04 00:46:02,840 __main__     INFO     Monitor: Logging successfully initialized
monitor.py:46 	 2016-10-04 00:46:02,844 __main__     INFO     /app/watch/input.jpg
monitor.py:75 	 2016-10-04 00:46:16,215 __main__     INFO     /app/watch/output.jpg
monitor.py:75 	 2016-10-04 00:46:21,217 __main__     INFO     /app/watch/input.jpg
monitor.py:75 	 2016-10-04 00:46:26,220 __main__     INFO     /app/watch/input.jpg
monitor.py:75 	 2016-10-04 00:46:46,550 __main__     INFO     /app/watch/output.jpg
monitor.py:75 	 2016-10-04 00:46:47,555 __main__     INFO     /app/watch/output.jpg
monitor.py:75 	 2016-10-04 00:46:51,557 __main__     INFO     /app/watch/input.jpg
monitor.py:75 	 2016-10-04 00:46:57,576 __main__     INFO     /app/watch/input.jpg
monitor.py:75 	 2016-10-04 00:47:08,619 __main__     INFO     /app/watch/output.jpg
monitor.py:75 	 2016-10-04 01:04:44,736 __main__     INFO     /app/watch/input.jpg
monitor.py:75 	 2016-10-04 01:04:46,707 __main__     INFO     /app/watch/input.jpg
monitor.py:75 	 2016-10-04 01:04:54,867 __main__     INFO     /app/watch/output.jpg
monitor.py:75 	 2016-10-04 01:04:55,839 __main__     INFO     /app/watch/output.jpg
monitor.py:75 	 2016-10-04 01:25:00,858 __main__     INFO     /app/watch/input.jpg
monitor.py:75 	 2016-10-04 01:25:02,831 __main__     INFO     /app/watch/input.jpg
monitor.py:75 	 2016-10-04 01:25:10,839 __main__     INFO     /app/watch/output.jpg
monitor.py:75 	 2016-10-04 01:29:55,351 __main__     INFO     /app/watch/input.jpg
monitor.py:75 	 2016-10-04 01:29:58,357 __main__     INFO     /app/watch/input.jpg
monitor.py:75 	 2016-10-04 01:30:04,387 __main__     INFO     /app/watch/output.jpg
setup.py:312 	 2016-10-03 22:28:20,098 __main__     INFO     ================================
setup.py:313 	 2016-10-03 22:28:20,104 __main__     INFO     Logging successfully initialized
setup.py:314 	 2016-10-03 22:28:20,108 __main__     INFO     ================================
setup.py:86 	 2016-10-03 22:28:20,144 __main__     INFO     dedosmedia-monitor containers in host: 1
setup.py:89 	 2016-10-03 22:28:20,148 __main__     INFO     Stopping or removing old container c0f049c6eeacb90f7c65b4ef00b0d7313cca3c4b4a658c4e833dde148d70f772
setup.py:95 	 2016-10-03 22:28:20,216 __main__     INFO     Building container...
setup.py:113 	 2016-10-03 22:28:20,403 __main__     INFO     Container built succesfully.
setup.py:140 	 2016-10-03 22:28:20,407 __main__     INFO     Config path is: I:\Dropbox\DedosMedia\keshot\monitor\config and exists: True
setup.py:144 	 2016-10-03 22:28:20,414 __main__     INFO     Watch path is: I:\Dropbox\DedosMedia\keshot\monitor\watch and exists: True
setup.py:185 	 2016-10-03 22:28:20,556 __main__     INFO     Container created: {u'Id': u'c98f6ad65211a72aa98d89ca78444130058af42187a0460e3dec4fb93648f202', u'Warnings': None}
setup.py:189 	 2016-10-03 22:28:20,941 __main__     INFO     Container started correctly. Monitoring: I:\Dropbox\DedosMedia\keshot\monitor\watch\input.jpg
monitor.py:170 	 2016-10-04 03:27:55,222 __main__     INFO     Monitor: Logging successfully initialized
monitor.py:46 	 2016-10-04 03:27:55,224 __main__     INFO     /app/watch/input.jpg
setup.py:314 	 2016-10-03 22:31:19,871 __main__     INFO     ================================
setup.py:315 	 2016-10-03 22:31:19,875 __main__     INFO     Logging successfully initialized
setup.py:316 	 2016-10-03 22:31:19,878 __main__     INFO     ================================
setup.py:86 	 2016-10-03 22:31:19,905 __main__     INFO     dedosmedia-monitor containers in host: 1
setup.py:89 	 2016-10-03 22:31:19,911 __main__     INFO     Stopping or removing old container c98f6ad65211a72aa98d89ca78444130058af42187a0460e3dec4fb93648f202
setup.py:95 	 2016-10-03 22:31:19,950 __main__     INFO     Building container...
setup.py:113 	 2016-10-03 22:31:20,151 __main__     INFO     Container built succesfully.
setup.py:140 	 2016-10-03 22:31:20,154 __main__     INFO     Config path is: I:\Dropbox\DedosMedia\keshot\monitor\config and exists: True
setup.py:144 	 2016-10-03 22:31:20,158 __main__     INFO     Watch path is: I:\Dropbox\DedosMedia\keshot\monitor\watch and exists: True
setup.py:185 	 2016-10-03 22:31:20,328 __main__     INFO     Container created: {u'Id': u'7c19b59fd8b983607d1e20b657134446a5821ccaa202fd28883ff4fe02069918', u'Warnings': None}
setup.py:189 	 2016-10-03 22:31:20,693 __main__     INFO     Container started correctly. Monitoring: I:\Dropbox\DedosMedia\keshot\monitor\watch\input.jpg
monitor.py:170 	 2016-10-04 03:30:54,976 __main__     INFO     Monitor: Logging successfully initialized
monitor.py:46 	 2016-10-04 03:30:54,979 __main__     INFO     /app/watch/input.jpg
setup.py:314 	 2016-10-03 22:32:17,003 __main__     INFO     ================================
setup.py:315 	 2016-10-03 22:32:17,006 __main__     INFO     Logging successfully initialized
setup.py:316 	 2016-10-03 22:32:17,009 __main__     INFO     ================================
setup.py:86 	 2016-10-03 22:32:17,032 __main__     INFO     dedosmedia-monitor containers in host: 1
setup.py:89 	 2016-10-03 22:32:17,038 __main__     INFO     Stopping or removing old container 7c19b59fd8b983607d1e20b657134446a5821ccaa202fd28883ff4fe02069918
setup.py:95 	 2016-10-03 22:32:17,079 __main__     INFO     Building container...
setup.py:113 	 2016-10-03 22:32:17,292 __main__     INFO     Container built succesfully.
setup.py:140 	 2016-10-03 22:32:17,296 __main__     INFO     Config path is: I:\Dropbox\DedosMedia\keshot\monitor\config and exists: True
setup.py:144 	 2016-10-03 22:32:17,305 __main__     INFO     Watch path is: I:\Dropbox\DedosMedia\keshot\monitor\watch and exists: True
setup.py:185 	 2016-10-03 22:32:17,453 __main__     INFO     Container created: {u'Id': u'54710b0b80e780637cbe763ec26cdb4380277e45cc667c5a69a574b702e5b855', u'Warnings': None}
setup.py:189 	 2016-10-03 22:32:17,822 __main__     INFO     Container started correctly. Monitoring: I:\Dropbox\DedosMedia\keshot\monitor\watch\input.jpg
monitor.py:170 	 2016-10-04 03:31:52,095 __main__     INFO     Monitor: Logging successfully initialized
monitor.py:46 	 2016-10-04 03:31:52,097 __main__     INFO     /app/watch/input.jpg
setup.py:318 	 2016-10-03 22:36:22,858 __main__     INFO     ================================
setup.py:319 	 2016-10-03 22:36:22,862 __main__     INFO     Logging successfully initialized
setup.py:320 	 2016-10-03 22:36:22,865 __main__     INFO     ================================
setup.py:87 	 2016-10-03 22:36:22,888 __main__     INFO     dedosmedia-monitor containers in host: 1
setup.py:90 	 2016-10-03 22:36:22,892 __main__     INFO     Stopping or removing old container 54710b0b80e780637cbe763ec26cdb4380277e45cc667c5a69a574b702e5b855
setup.py:96 	 2016-10-03 22:36:22,950 __main__     INFO     Building container...
setup.py:114 	 2016-10-03 22:36:23,148 __main__     INFO     Container built succesfully.
setup.py:141 	 2016-10-03 22:36:23,153 __main__     INFO     Config path is: I:\Dropbox\DedosMedia\keshot\monitor\config and exists: True
setup.py:145 	 2016-10-03 22:36:23,160 __main__     INFO     Watch path is: I:\Dropbox\DedosMedia\keshot\monitor\watch and exists: True
setup.py:186 	 2016-10-03 22:36:23,328 __main__     INFO     Container created: {u'Id': u'e312c98ac430e43505cff32209593463fba29c79c09c010fbbbd56cf7b40864d', u'Warnings': None}
setup.py:190 	 2016-10-03 22:36:23,760 __main__     INFO     Container started correctly. Monitoring: I:\Dropbox\DedosMedia\keshot\monitor\watch\input.jpg
monitor.py:170 	 2016-10-04 03:35:58,067 __main__     INFO     Monitor: Logging successfully initialized
monitor.py:46 	 2016-10-04 03:35:58,069 __main__     INFO     /app/watch/input.jpg
setup.py:318 	 2016-10-03 22:38:41,236 __main__     INFO     ================================
setup.py:319 	 2016-10-03 22:38:41,240 __main__     INFO     Logging successfully initialized
setup.py:320 	 2016-10-03 22:38:41,243 __main__     INFO     ================================
setup.py:87 	 2016-10-03 22:38:41,267 __main__     INFO     dedosmedia-monitor containers in host: 1
setup.py:90 	 2016-10-03 22:38:41,273 __main__     INFO     Stopping or removing old container e312c98ac430e43505cff32209593463fba29c79c09c010fbbbd56cf7b40864d
setup.py:96 	 2016-10-03 22:38:41,319 __main__     INFO     Building container...
setup.py:114 	 2016-10-03 22:38:41,502 __main__     INFO     Container built succesfully.
setup.py:141 	 2016-10-03 22:38:41,507 __main__     INFO     Config path is: I:\Dropbox\DedosMedia\keshot\monitor\config and exists: True
setup.py:145 	 2016-10-03 22:38:41,513 __main__     INFO     Watch path is: I:\Dropbox\DedosMedia\keshot\monitor\watch and exists: True
setup.py:186 	 2016-10-03 22:38:41,696 __main__     INFO     Container created: {u'Id': u'5e8a544b88803171d00f7a63f5b4fb6b386bc2c01af96003327502a460960d7f', u'Warnings': None}
setup.py:190 	 2016-10-03 22:38:42,062 __main__     INFO     Container started correctly. Monitoring: I:\Dropbox\DedosMedia\keshot\monitor\watch\input.jpg
monitor.py:170 	 2016-10-04 03:38:16,356 __main__     INFO     Monitor: Logging successfully initialized
monitor.py:46 	 2016-10-04 03:38:16,359 __main__     INFO     /app/watch/input.jpg
setup.py:252 	 2016-10-03 22:38:45,782 __main__     INFO     Exiting container 5e8a544b88803171d00f7a63f5b4fb6b386bc2c01af96003327502a460960d7f
setup.py:318 	 2016-10-03 22:39:03,099 __main__     INFO     ================================
setup.py:319 	 2016-10-03 22:39:03,104 __main__     INFO     Logging successfully initialized
setup.py:320 	 2016-10-03 22:39:03,108 __main__     INFO     ================================
setup.py:87 	 2016-10-03 22:39:03,311 __main__     INFO     dedosmedia-monitor containers in host: 0
setup.py:96 	 2016-10-03 22:39:03,313 __main__     INFO     Building container...
setup.py:114 	 2016-10-03 22:39:03,513 __main__     INFO     Container built succesfully.
setup.py:141 	 2016-10-03 22:39:03,523 __main__     INFO     Config path is: I:\Dropbox\DedosMedia\keshot\monitor\config and exists: True
setup.py:145 	 2016-10-03 22:39:03,528 __main__     INFO     Watch path is: I:\Dropbox\DedosMedia\keshot\monitor\watch and exists: True
setup.py:186 	 2016-10-03 22:39:03,688 __main__     INFO     Container created: {u'Id': u'69846ae4679c932a306d8e7f49e716174366e46c03cb1e0f3621bcddca6bd74b', u'Warnings': None}
setup.py:190 	 2016-10-03 22:39:04,032 __main__     INFO     Container started correctly. Monitoring: I:\Dropbox\DedosMedia\keshot\monitor\watch\input.jpg
monitor.py:170 	 2016-10-04 03:38:38,353 __main__     INFO     Monitor: Logging successfully initialized
monitor.py:46 	 2016-10-04 03:38:38,355 __main__     INFO     /app/watch/input.jpg
setup.py:318 	 2016-10-03 22:55:01,121 __main__     INFO     ================================
setup.py:319 	 2016-10-03 22:55:01,124 __main__     INFO     Logging successfully initialized
setup.py:320 	 2016-10-03 22:55:01,128 __main__     INFO     ================================
setup.py:87 	 2016-10-03 22:55:01,158 __main__     INFO     dedosmedia-monitor containers in host: 1
setup.py:90 	 2016-10-03 22:55:01,163 __main__     INFO     Stopping or removing old container 69846ae4679c932a306d8e7f49e716174366e46c03cb1e0f3621bcddca6bd74b
setup.py:96 	 2016-10-03 22:55:01,217 __main__     INFO     Building container...
setup.py:114 	 2016-10-03 22:55:01,447 __main__     INFO     Container built succesfully.
setup.py:141 	 2016-10-03 22:55:01,450 __main__     INFO     Config path is: I:\Dropbox\DedosMedia\keshot\monitor\config and exists: True
setup.py:145 	 2016-10-03 22:55:01,457 __main__     INFO     Watch path is: I:\Dropbox\DedosMedia\keshot\monitor\watch and exists: True
setup.py:186 	 2016-10-03 22:55:01,632 __main__     INFO     Container created: {u'Id': u'ae9c8f382156a71160ad5c771d4ed6629426eef649de556a66dae3b4b46c6e1b', u'Warnings': None}
setup.py:318 	 2016-10-03 22:56:09,424 __main__     INFO     ================================
setup.py:319 	 2016-10-03 22:56:09,427 __main__     INFO     Logging successfully initialized
setup.py:320 	 2016-10-03 22:56:09,430 __main__     INFO     ================================
setup.py:87 	 2016-10-03 22:56:09,453 __main__     INFO     dedosmedia-monitor containers in host: 1
setup.py:90 	 2016-10-03 22:56:09,457 __main__     INFO     Stopping or removing old container ae9c8f382156a71160ad5c771d4ed6629426eef649de556a66dae3b4b46c6e1b
setup.py:96 	 2016-10-03 22:56:09,494 __main__     INFO     Building container...
setup.py:114 	 2016-10-03 22:56:09,701 __main__     INFO     Container built succesfully.
setup.py:141 	 2016-10-03 22:56:09,707 __main__     INFO     Config path is: I:\Dropbox\DedosMedia\keshot\monitor\config and exists: True
setup.py:145 	 2016-10-03 22:56:09,716 __main__     INFO     Watch path is: I:\Dropbox\DedosMedia\keshot\monitor\watch and exists: True
setup.py:186 	 2016-10-03 22:56:09,862 __main__     INFO     Container created: {u'Id': u'bee51dd4a16af34afcd1a0310854073d6cee68fcb3265a202aba876c8d995326', u'Warnings': None}
setup.py:190 	 2016-10-03 22:56:10,223 __main__     INFO     Container started correctly. Monitoring: I:\Dropbox\DedosMedia\keshot\monitor\watch\input.jpg
monitor.py:170 	 2016-10-04 03:55:44,504 __main__     INFO     Monitor: Logging successfully initialized
monitor.py:46 	 2016-10-04 03:55:44,506 __main__     INFO     /app/watch/input.jpg
setup.py:252 	 2016-10-03 22:56:25,092 __main__     INFO     Exiting container bee51dd4a16af34afcd1a0310854073d6cee68fcb3265a202aba876c8d995326
setup.py:318 	 2016-10-03 22:57:12,048 __main__     INFO     ================================
setup.py:319 	 2016-10-03 22:57:12,051 __main__     INFO     Logging successfully initialized
setup.py:320 	 2016-10-03 22:57:12,053 __main__     INFO     ================================
setup.py:87 	 2016-10-03 22:57:12,102 __main__     INFO     dedosmedia-monitor containers in host: 0
setup.py:96 	 2016-10-03 22:57:12,107 __main__     INFO     Building container...
setup.py:114 	 2016-10-03 22:57:12,296 __main__     INFO     Container built succesfully.
setup.py:141 	 2016-10-03 22:57:12,299 __main__     INFO     Config path is: I:\Dropbox\DedosMedia\keshot\monitor\config and exists: True
setup.py:145 	 2016-10-03 22:57:12,306 __main__     INFO     Watch path is: I:\Dropbox\DedosMedia\keshot\monitor\watch and exists: True
setup.py:186 	 2016-10-03 22:57:12,454 __main__     INFO     Container created: {u'Id': u'6464c0d2a2e6662818b69ad21ccb57708144b8ddb6376477ceea151fa5a6a21d', u'Warnings': None}
setup.py:190 	 2016-10-03 22:57:12,836 __main__     INFO     Container started correctly. Monitoring: I:\Dropbox\DedosMedia\keshot\monitor\watch\input.jpg
